movie,critics,audience
Doubt,79,78
Arrival,94,82
Jaws,97,90
Good Will Hunting,97,94
 Interstellar,71,85
Batman V Superman,27,63
Cloud Atlas,66,66
Thor: Ragnarok,92,87
Room,94,93
Justice League,40,73
The Avengers,92,91
Iron man,93,91
Black Panther,97,79
Star Wars: A New Hope,93,96
Gone Girl,88,87
Pulp Fiction,94,96
Pacific Rim,71,77
Ready Player One,72,77
Black Swan,85,84
Annihilation,88,66
